epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0784,0.4472,4.4213,1.06183,0.35384,0.30667,0.31525,0.31161,0.31913,4.10114,1.11536,8.32099e-05,8.32099e-05,8.32099e-05
2,171.147,0.20153,2.29558,0.9319,0.82964,0.58399,0.79475,0.79303,0.2513,2.04865,1.09011,0.000150055,0.000150055,0.000150055
3,247.601,0.17099,0.87762,0.93158,0.91465,0.72648,0.94673,0.93348,0.31514,1.6417,1.09353,0.000200401,0.000200401,0.000200401
4,321.739,0.14209,0.46585,0.93112,0.90217,0.68671,0.92943,0.89517,0.36522,1.76912,1.10137,0.00017575,0.00017575,0.00017575
5,398.729,0.12318,0.3234,0.92335,0.94307,0.7645,0.96542,0.90452,0.40405,1.58975,1.11553,0.000151,0.000151,0.000151
6,475.1,0.11382,0.26225,0.92247,0.90098,0.62636,0.91109,0.8028,0.43385,1.79797,1.11089,0.00012625,0.00012625,0.00012625
7,553.425,0.10558,0.22745,0.9205,0.88179,0.6245,0.90652,0.80941,0.44954,1.76125,1.12686,0.0001015,0.0001015,0.0001015
8,629.201,0.0966,0.20514,0.91893,0.96757,0.66405,0.8771,0.78169,0.43006,1.9233,1.11459,7.675e-05,7.675e-05,7.675e-05
9,705.927,0.08799,0.18892,0.92144,0.82835,0.6335,0.82114,0.71863,0.45475,1.93161,1.12463,5.2e-05,5.2e-05,5.2e-05
10,782.23,0.08211,0.17629,0.91995,0.84914,0.65312,0.86752,0.74737,0.47119,1.94518,1.12545,2.725e-05,2.725e-05,2.725e-05
