epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8918,0.48225,4.46102,1.07289,0.01653,0.35204,0.06416,0.06245,0.35304,4.30806,1.10153,8.31843e-05,8.31843e-05,8.31843e-05
2,149.899,0.20513,2.52965,0.94413,0.32623,0.52877,0.55723,0.55278,0.34107,3.36763,1.11656,0.000150032,0.000150032,0.000150032
3,210.146,0.17697,0.96219,0.93739,0.63458,0.5597,0.70801,0.70242,0.32147,2.96273,1.10217,0.00020038,0.00020038,0.00020038
4,271.368,0.15617,0.54212,0.93094,0.59005,0.5097,0.71274,0.70149,0.38043,3.18336,1.10678,0.00017575,0.00017575,0.00017575
5,335.566,0.13197,0.37481,0.92361,0.51381,0.52003,0.62613,0.59964,0.3882,3.37907,1.10933,0.000151,0.000151,0.000151
6,399.232,0.12262,0.2989,0.9212,0.59427,0.42719,0.59458,0.54429,0.46988,3.39192,1.12434,0.00012625,0.00012625,0.00012625
7,462.642,0.10856,0.25639,0.92295,0.49803,0.45154,0.4963,0.47239,0.42911,3.49484,1.12093,0.0001015,0.0001015,0.0001015
8,526.449,0.10163,0.22906,0.92175,0.4906,0.40592,0.53484,0.48676,0.46074,3.56491,1.12184,7.675e-05,7.675e-05,7.675e-05
9,588.551,0.09632,0.21278,0.92051,0.51226,0.5005,0.5633,0.52197,0.44059,3.45739,1.12403,5.2e-05,5.2e-05,5.2e-05
10,651.145,0.08927,0.19655,0.92018,0.49792,0.33683,0.54201,0.494,0.46511,3.60073,1.12831,2.725e-05,2.725e-05,2.725e-05
