epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3628,1.45003,3.89013,1.32238,0.00322,0.96552,0.64438,0.30447,1.3617,3.75195,1.12362,0.00042,0.00042,0.00042
2,45.3596,1.47385,2.76889,1.27895,0.90496,0.33333,0.61729,0.26423,1.48165,3.7281,1.17499,0.00077486,0.00077486,0.00077486
3,68.753,1.53835,2.72799,1.33751,0.53585,0.24138,0.26622,0.13047,1.54109,3.56407,1.3092,0.0010426,0.0010426,0.0010426
4,93.1458,1.46357,2.43148,1.27968,0.40675,0.43678,0.39133,0.1973,1.57904,3.30624,1.50206,0.00122322,0.00122322,0.00122322
5,117.459,1.53949,2.38336,1.28961,0.41527,0.51724,0.46706,0.2214,1.68146,3.22449,1.39911,0.001208,0.001208,0.001208
6,141.827,1.4815,2.22356,1.24576,0.36586,0.24138,0.25759,0.1213,1.75663,5.51415,1.35103,0.00101,0.00101,0.00101
7,161.039,1.50071,1.96978,1.27685,0.80301,0.55172,0.59973,0.31533,1.65855,3.00725,1.2786,0.000812,0.000812,0.000812
8,178.373,1.41178,1.85091,1.21147,0.8182,0.77598,0.83319,0.44504,1.46607,1.89114,1.23534,0.000614,0.000614,0.000614
9,203.94,1.41473,1.69697,1.21954,0.88671,0.8046,0.87429,0.47146,1.47364,1.63073,1.21873,0.000416,0.000416,0.000416
10,228.288,1.29793,1.57488,1.16726,0.90829,0.81609,0.90596,0.50343,1.4851,1.55228,1.21818,0.000218,0.000218,0.000218
